,Absolute Time,Block,Trial,Color,Trial Time,Phase,Phase Time
79,41.06820762499956,1,1,3,10.796774792000178,full,0.6023597499997777
80,41.08159566699942,1,1,3,10.810163042000568,full,0.6157478749992151
81,41.08966254200004,1,1,3,10.818230292000408,full,0.6238155829996685
82,41.09347262499978,1,1,3,10.82203970900082,full,0.6276244159998896
83,41.10704554199947,1,1,3,10.835614084000554,full,0.6411997079994762
84,41.11011774999952,1,1,3,10.83868483400056,full,0.6442694999996093
85,41.123168582999824,1,1,3,10.851736209000592,full,0.657321332999345
86,41.127006875000006,1,1,3,10.85557429200071,full,0.6611591659993792
87,41.13967112499995,1,1,3,10.868238792000739,full,0.6738241659995765
88,41.14808991700011,1,1,3,10.876657292000345,full,0.6822423329995218
89,41.15138058299999,1,1,3,10.879948292000336,full,0.6855333329995119
